SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
LKOH,2007-10-08,3467,S,TRUE,-0.2968739383981008,0.0248672259160035,2183,4
LKOH,2007-10-08,3502,S,TRUE,-14.27457132040148,0.0053379062384728,2178.83,4
LKOH,2007-10-08,3552,B,TRUE,-0.0876110619286292,0.0086243813247549,2180.09,4
LKOH,2007-10-08,3575,S,TRUE,0.0825688073394495,0.0034615805879893,2180,4
LKOH,2007-10-08,3704,B,TRUE,0.091869545245751,0.0433206893697628,2177,4
LKOH,2007-10-08,3708,S,TRUE,-42.59578445349621,0.0155824044330336,2171.95,4
LKOH,2007-10-08,3755,S,TRUE,-0.7325594774122793,0.0175254854953051,2177.94,4
LKOH,2007-10-08,3768,S,TRUE,-23.201893200698,0.0201643929870783,2177,4
LKOH,2007-10-08,3773,B,TRUE,100,0.0040484569807262,2176.23,3
LKOH,2007-10-08,3871,S,TRUE,-0.9880717017447684,0.0141805239536306,2176,4
LKOH,2007-10-08,3938,S,TRUE,-2.8595151203300166,0.0062560189382647,2185.1,4
LKOH,2007-10-08,4006,S,TRUE,-100,0.028724224875949,2174.49,1
LKOH,2007-10-08,4033,S,TRUE,-30.566331999506957,0.0074346276477795,2177,4
LKOH,2007-10-08,4041,B,TRUE,100,0.0173654165037917,2173.35,3
LKOH,2007-10-08,4121,B,TRUE,57.1360035626734,0.0091212062820532,2170.97,3
LKOH,2007-10-08,4135,S,TRUE,-18.002784714332666,0.010311603337307,2171.15,4
LKOH,2007-10-08,4171,B,TRUE,0.0092030185900891,0.1030525337872986,2173.2,2
LKOH,2007-10-08,4174,S,TRUE,-100,0.068512797229626,2174.94,1
LKOH,2007-10-08,4193,B,TRUE,47.90324496367622,0.0419867824463396,2174.94,3
LKOH,2007-10-08,4255,B,TRUE,-0.0045979125476991,0.1158235871664403,2174.9,2
LKOH,2007-10-08,4323,B,TRUE,100,0.0738072522033929,2173.21,3
LKOH,2007-10-08,4328,B,TRUE,100,0.0261761546625096,2173.25,3
LKOH,2007-10-08,4378,S,TRUE,0.0607234758063758,0.0363611528496056,2173.7,4
LKOH,2007-10-08,4446,S,TRUE,-100,0.0098965216338441,2173.34,1
LKOH,2007-10-08,4455,B,TRUE,1.3687390700204691,0.0149632151511094,2174,4
LKOH,2007-10-08,4636,B,TRUE,5.413918502508535,0.00044793616688989997,2174,4
LKOH,2007-10-08,4651,B,TRUE,0.0280692066997824,0.014413430477657,2173.2,4
LKOH,2007-10-08,4662,B,TRUE,0.0170060984376031,0.035190793455525,2173.29,4
LKOH,2007-10-08,4723,S,TRUE,-2.1468003069981743,0.0048776175182886,2174.59,4
LKOH,2007-10-08,4744,B,TRUE,0.0193182497665744,0.1013222232285874,2174.11,2
LKOH,2007-10-08,4781,S,TRUE,-10.586891154666768,0.0154333233358617,2173.25,4
LKOH,2007-10-08,4812,B,TRUE,85.66334364723878,0.0458712694242193,2174.98,3
LKOH,2007-10-08,4873,B,TRUE,-9.195486855043e-4,0.0473026773943291,2174.98,4
LKOH,2007-10-08,4930,B,TRUE,0.006696485964904,0.0179075425668096,2175.21,4
LKOH,2007-10-08,4939,S,TRUE,-11.969707640235647,0.0105135663591002,2175.75,4
LKOH,2007-10-08,4949,B,TRUE,1.0985045599448058,0.0245584498005144,2164.45,0
LKOH,2007-10-08,4958,B,TRUE,-0.001838362019439,0.10542560822591,2175.85,2
LKOH,2007-10-08,4980,B,TRUE,3.825142520324616,0.0013535422441727,2177.49,4
LKOH,2007-10-08,5013,B,TRUE,100,9.17368294894e-4,2175.72,3
LKOH,2007-10-08,5103,S,TRUE,-5.176084328682013,0.0377376035736567,2175.88,4
LKOH,2007-10-08,5140,S,TRUE,-100,0.0321077528989888,2175.9,1
