SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
LKOH,2007-10-08,4033,S,TRUE,-30.566331999506954,0.00743462764777951,2177
LKOH,2007-10-08,4041,B,TRUE,100,0.01736541650379179,2173.35
LKOH,2007-10-08,4121,B,TRUE,57.1360035626734,0.00912120628205322,2170.97
LKOH,2007-10-08,4135,S,TRUE,-18.002784714332666,0.01031160333730702,2171.15
LKOH,2007-10-08,4171,B,TRUE,0.00920301859008918,0.10305253378729864,2173.2
LKOH,2007-10-08,4174,S,TRUE,-100,0.06851279722962603,2174.94
LKOH,2007-10-08,4193,B,TRUE,47.90324496367622,0.04198678244633964,2174.94
LKOH,2007-10-08,4255,B,TRUE,-0.00459791254769916,0.11582358716644034,2174.9
LKOH,2007-10-08,4323,B,TRUE,100,0.07380725220339295,2173.21
LKOH,2007-10-08,4328,B,TRUE,100,0.02617615466250969,2173.25
LKOH,2007-10-08,4378,S,TRUE,0.06072347580637582,0.03636115284960568,2173.7
LKOH,2007-10-08,4446,S,TRUE,-100,0.00989652163384415,2173.34
LKOH,2007-10-08,4455,B,TRUE,1.3687390700204691,0.01496321515110948,2174
LKOH,2007-10-08,4636,B,TRUE,5.413918502508535,4.4793616688996e-4,2174
LKOH,2007-10-08,4651,B,TRUE,0.02806920669978246,0.01441343047765706,2173.2
LKOH,2007-10-08,4662,B,TRUE,0.01700609843760313,0.03519079345552504,2173.29
LKOH,2007-10-08,4723,S,TRUE,-2.1468003069981743,0.00487761751828865,2174.59
LKOH,2007-10-08,4744,B,TRUE,0.01931824976657449,0.10132222322858744,2174.11
LKOH,2007-10-08,4781,S,TRUE,-10.586891154666768,0.01543332333586174,2173.25
LKOH,2007-10-08,4812,B,TRUE,85.66334364723878,0.04587126942421932,2174.98
LKOH,2007-10-08,4873,B,TRUE,-9.1954868550431e-4,0.04730267739432919,2174.98
LKOH,2007-10-08,4930,B,TRUE,0.00669648596490407,0.0179075425668096,2175.21
LKOH,2007-10-08,4939,S,TRUE,-11.969707640235647,0.01051356635910029,2175.75
LKOH,2007-10-08,4949,B,TRUE,1.0985045599448058,0.02455844980051445,2164.45
LKOH,2007-10-08,4958,B,TRUE,-0.001838362019439,0.10542560822591004,2175.85
LKOH,2007-10-08,4980,B,TRUE,3.825142520324616,0.00135354224417277,2177.49
LKOH,2007-10-08,5013,B,TRUE,100,9.1736829489408e-4,2175.72
LKOH,2007-10-08,5103,S,TRUE,-5.176084328682013,0.03773760357365674,2175.88
LKOH,2007-10-08,5140,S,TRUE,-100,0.03210775289898886,2175.9
LKOH,2007-10-08,5243,S,TRUE,0.08596805195672394,4.9141434238746e-4,2175.11
LKOH,2007-10-08,5265,S,TRUE,-56.20495199530464,0.00429255263422722,2175
LKOH,2007-10-08,5341,S,TRUE,-0.6982691351972881,0.01733383606339723,2175.8
LKOH,2007-10-08,5451,S,TRUE,-6.198134037216793,0.00670207266600395,2173.8
LKOH,2007-10-08,5500,S,TRUE,0.09318407418507,0.01269061008412022,2172.9
LKOH,2007-10-08,5513,S,TRUE,-7.883133628853325,0.00314029469176695,2186
LKOH,2007-10-08,5664,B,TRUE,-0.05801131681086093,0.00198215571016918,2171.99
LKOH,2007-10-08,5712,S,TRUE,4.6040727628664e-4,0.00810408672056299,2171.99
LKOH,2007-10-08,5745,B,TRUE,0.10186578962820826,0.00182380604076494,2152.16
LKOH,2007-10-08,5764,S,TRUE,-100,0.01184065519222789,2170.99
LKOH,2007-10-08,5854,B,TRUE,1.7221032736606512,0.01010961883130322,2172
LKOH,2007-10-08,5873,B,TRUE,8.1330125715238e-4,0.02399336283447424,2169
LKOH,2007-10-08,5875,B,TRUE,4.25015603147858,0.00224317609964057,2168.4
LKOH,2007-10-08,5919,B,TRUE,4.6103982924091e-4,0.03065158203932765,2169.01
LKOH,2007-10-08,5924,B,TRUE,9.245904064491e-4,0.01984958529809702,2163.12
LKOH,2007-10-08,5955,B,TRUE,100,0.01129163760920634,2169.22
LKOH,2007-10-08,5988,B,TRUE,27.414652362185343,3.1113992437252e-4,2152.88
LKOH,2007-10-08,6040,B,TRUE,0,0.0373229773276367,2169
LKOH,2007-10-08,6061,B,TRUE,15.57748942249678,0.00814449320269933,2169.33
LKOH,2007-10-08,6065,B,TRUE,0.00461020699829003,0.06795784631712468,2169.1
LKOH,2007-10-08,6135,B,TRUE,0.01041231667653718,0.01144248305336127,2169.5
LKOH,2007-10-08,6158,B,TRUE,9.2198614254743e-4,0.01318698384305016,2169.23
LKOH,2007-10-08,6169,B,TRUE,-0.00691244239631755,0.01038390579537232,2170
LKOH,2007-10-08,6200,B,TRUE,-0.04695237442820997,0.00260484580671971,2170.5
LKOH,2007-10-08,6257,S,TRUE,-100,0.00686299926672664,2172.8
LKOH,2007-10-08,6259,B,TRUE,0.00230377588866897,0.00460274436950001,2170.35
LKOH,2007-10-08,6288,B,TRUE,0.00276445464220794,0.00479798801508719,2170.41
LKOH,2007-10-08,6359,S,TRUE,0.02693675445825127,0.0055891765858887,2171.9
LKOH,2007-10-08,6411,B,TRUE,0.00582981979382399,0.00609619302831289,2170.68
LKOH,2007-10-08,6425,S,TRUE,-18.733553440023403,0.00411343905592344,2172.54
LKOH,2007-10-08,6447,S,TRUE,-5.454582801978287,0.00322369910790957,2171
LKOH,2007-10-08,6551,B,TRUE,12.188162415312403,0.00631975628382062,2171
LKOH,2007-10-08,6671,B,TRUE,0.00230409437571401,0.0162604070257869,2170.05
LKOH,2007-10-08,6712,S,TRUE,-4.315050016859615,0.00545029439127538,2170
LKOH,2007-10-08,6812,S,TRUE,0.2424750119782409,0.00537576023493323,2172.9
LKOH,2007-10-08,6871,S,TRUE,-11.668439233034174,0.00974326381085115,2170.21
LKOH,2007-10-08,6880,S,TRUE,-100,3.0316143123487e-4,2170.99
LKOH,2007-10-08,6894,S,TRUE,-9.13433206036105,0.00306585441463375,2169.95
LKOH,2007-10-08,6966,S,TRUE,-0.07998447073669712,0.01589544397828665,2171.32
LKOH,2007-10-08,6989,S,TRUE,4.6083161674562e-4,0.00317981792846518,2169.99
LKOH,2007-10-08,7023,S,TRUE,0.02305209774089442,3.3121745216782526e-5,2169
LKOH,2007-10-08,7077,B,TRUE,0.02305741295826608,0.00987654448478446,2168.5
LKOH,2007-10-08,7093,S,TRUE,-100,1.396936602725e-4,2168.5
LKOH,2007-10-08,7106,B,TRUE,2.795267418082986,0.00213338605799862,2168
LKOH,2007-10-08,7148,B,TRUE,0.04566399601478943,0.00234029582652637,2168.01
LKOH,2007-10-08,7164,B,TRUE,0.00364406987292402,0.01284828875824332,2168.23
LKOH,2007-10-08,7166,B,TRUE,0.00138374468988898,0.00227283500758219,2168.03
LKOH,2007-10-08,7281,S,TRUE,-2.3059794993936142,0.00561381925376399,2176.1
LKOH,2007-10-08,7302,S,TRUE,-2.001122047026482,0.01647070847549067,2171.04
LKOH,2007-10-08,7359,S,TRUE,-100,0.07698348633929751,2171.75
LKOH,2007-10-08,7364,S,TRUE,0.00414425698077734,0.05691198613820356,2171.68
LKOH,2007-10-08,7367,B,TRUE,2.005714454018644,0.00223265676249814,2171.31
LKOH,2007-10-08,7373,S,TRUE,-1.5155864251350273,0.00416632450367916,2170
LKOH,2007-10-08,7378,B,TRUE,73.17995406648802,7.2994252304314e-4,2169.92
LKOH,2007-10-08,7393,S,TRUE,0.0460831616735561,0.0090656621988173,2169.99
LKOH,2007-10-08,7416,S,TRUE,-0.10905833989057932,0.00513010527656619,2169.93
LKOH,2007-10-08,7455,B,TRUE,0,0.00934109252906564,2169.24
LKOH,2007-10-08,7478,S,TRUE,-21.184607695664575,0.00500475027053801,2171.5
LKOH,2007-10-08,7486,B,TRUE,50.233799671292715,0.00270615588839519,2169.5
LKOH,2007-10-08,7522,S,TRUE,-3.9096759230815463,0.01019692244539232,2168.99
LKOH,2007-10-08,7530,B,TRUE,100,0.00439846457852351,2169.27
LKOH,2007-10-08,7616,B,TRUE,2.7656134319969732e-5,0.0017882959823217,2169.52
LKOH,2007-10-08,7677,B,TRUE,100,9.0630129888776e-4,2169.53
LKOH,2007-10-08,7740,S,TRUE,-0.9609011664984428,0.0044166820167364,2171.5
LKOH,2007-10-08,7754,B,TRUE,-0.00100710616468295,1.987713537394e-4,2171.52
LKOH,2007-10-08,7887,S,TRUE,0.00277409302476226,0.01252924008027445,2171
LKOH,2007-10-08,7934,B,TRUE,3.999999999999999,0.03123788967537051,2169.55
LKOH,2007-10-08,7952,S,TRUE,0.3146375980024903,0.00699409926670047,2171.4
LKOH,2007-10-08,7984,S,TRUE,0.02579527762167289,0.04712004433795305,2170.94
LKOH,2007-10-08,8005,S,TRUE,-19.473684210526315,0.02303806570712421,2170.12
LKOH,2007-10-08,8045,S,TRUE,0.01434351626982726,0.00310114187786284,2169.97
LKOH,2007-10-08,8066,S,TRUE,-69.43041601229761,0.00261951300883893,2169.95
LKOH,2007-10-08,8074,S,TRUE,-43.79438019353426,7.9141771389526e-4,2169.97
LKOH,2007-10-08,8113,S,TRUE,3.0033153243654e-4,0.00121115598976175,2169.94
LKOH,2007-10-08,8167,B,TRUE,-1.0860929391681e-4,0.00343916343092717,2170
LKOH,2007-10-08,8234,B,TRUE,-0.00829516023484604,0.00181670970590701,2169.95
LKOH,2007-10-08,8267,S,TRUE,-4.808685325711683,0.00725936735965443,2168.99
LKOH,2007-10-08,8302,B,TRUE,100,6.1792690502284e-4,2169.01
LKOH,2007-10-08,8310,B,TRUE,0.00282325559307469,0.00338106325971453,2169.12
LKOH,2007-10-08,8314,B,TRUE,-0.00184335195118636,0.00135471957543047,2169.96
LKOH,2007-10-08,8323,B,TRUE,-0.02717090962680412,6.4435717779363e-4,2171.47
LKOH,2007-10-08,8350,B,TRUE,8.70288836071874,0.00176026683026892,2171
LKOH,2007-10-08,8364,B,TRUE,52.50011525517496,0.02508259582594887,2169.1
LKOH,2007-10-08,8418,B,TRUE,0.02476104120270748,0.00265661686373645,2170
LKOH,2007-10-08,8458,B,TRUE,-0.03317972350230541,0.0155187743386137,2170
LKOH,2007-10-08,8477,S,TRUE,0.03999038019425247,0.00237379800575854,2171.37
LKOH,2007-10-08,8505,B,TRUE,100,0.00144289045342606,2169.6
LKOH,2007-10-08,8511,B,TRUE,9.95018622559348e-5,9.6499888822864e-4,2169.9
LKOH,2007-10-08,8530,B,TRUE,38.4627158747627,0.00209981643852759,2171.43
LKOH,2007-10-08,8537,S,TRUE,-100,0.00311320534029904,2171.33
LKOH,2007-10-08,8577,S,TRUE,0.03730157633700363,0.00297326800118934,2171.49
LKOH,2007-10-08,8595,S,TRUE,-100,0.00610499128110953,2171.52
LKOH,2007-10-08,8597,B,TRUE,0.048018867024128,0.00388151500511467,2170.55
LKOH,2007-10-08,8655,S,TRUE,-0.10702736955415508,0.00134958194433127,2170
LKOH,2007-10-08,8668,S,TRUE,-71.25093162507389,0.00155603454203701,2172.8
LKOH,2007-10-08,8709,B,TRUE,1.9255761606601385,0.00249040633734737,2174.01
LKOH,2007-10-08,8729,S,TRUE,-3.212917822709753,0.00427919985682985,2172
LKOH,2007-10-08,8748,S,TRUE,-15.712279174204811,0.02847074139866759,2174.5
LKOH,2007-10-08,8785,S,TRUE,-0.4915672511079795,0.00179520601056526,2172.01
LKOH,2007-10-08,8848,B,TRUE,50.01727274820939,9.0489288682646e-4,2171.05
LKOH,2007-10-08,8878,S,TRUE,4.6040727628664e-4,3.7681723896872e-4,2171.99
LKOH,2007-10-08,8907,B,TRUE,-0.00368510755907352,0.01575879629733623,2170.9
LKOH,2007-10-08,8960,S,TRUE,0.03224617652477511,0.00350882366112581,2170.8
LKOH,2007-10-08,8973,S,TRUE,0.01059531871179434,0.00478490688323659,2170.77
LKOH,2007-10-08,8990,B,TRUE,94.3407597781746,0.00386459752335674,2169.6
LKOH,2007-10-08,8994,S,TRUE,0,0.00457861870556674,2170
